Time,Degrees
1,26.272022945556323
2,25.80757620243864
3,25.188746308625497
4,24.101157088553325
5,23.410646302374477
6,23.302845891818187
7,23.21065779502025
8,22.742694416138995
9,22.44030682383929
10,22.464218606968394
11,22.52815017572507
12,22.609260761893534
13,23.03721989257406
14,23.22158210315286
15,23.382564936508253
16,23.582906185383354
17,23.79738163547268
18,24.034463826719936
19,24.267552504699076
20,24.468960057620176
21,24.85740700188402
22,25.790703235846753
23,26.385510737326022
24,27.531031458326964
25,29.21352615034858
26,32.309886584802875
27,34.338336144352546
28,36.82336868957663
29,38.84809556925531
30,40.054297749710834
31,41.91755285537094
32,44.44216141083832
33,47.82623299916289
34,50.33127396762742
35,51.69655669792636
36,53.525331217068775
37,55.89385466517059
38,57.34171786041153
39,58.47824399792357
40,59.915555282318685
41,61.52446149879168
42,63.41949464344987
43,64.85032721628804
44,65.687258456355
45,66.81176140144001
46,67.51034614000737
47,68.83044217088323
48,70.69122298903699
49,72.08321338940743
50,72.60143843619602
51,73.35042367411754
52,73.56960737336712
53,73.97890267022217
54,74.81383370840203
55,75.1495306669845
56,75.34665232407352
57,75.63206936418146
58,75.7661183798028
59,75.85555948710945
60,75.87833023070857
61,75.8490530866152
62,75.80190774369702
63,75.71461731153165
64,75.11617537609996
65,74.8512111661627
66,74.20706119249013
67,73.68095301300012
68,73.0962475735883
69,71.96294302261259
70,70.25658430904589
71,68.25660014280484
72,66.6063973575777
73,65.41604409893554
74,64.4784733431145
75,63.378259474461075
76,62.428209947878614
77,60.55692979707814
78,59.11569805139387
79,58.09527721698552
80,56.73915806254498
81,55.55324942810909
82,54.596688764588244
83,52.955096214997724
84,51.04307894748429
85,49.44938823650784
86,48.60459512551422
87,47.83972570911196
88,46.55225351110763
89,44.65594655830446
90,43.18881665797478
91,42.75415059122086
92,42.32904440689903
93,41.36775151078106
94,40.20540256533844
95,39.01827316006355
96,37.85157790878974
97,36.20368494640775
98,34.55779680406993
99,32.449670675774
100,30.532969741038535
101,29.165098425256424
102,28.813130706862392
103,26.881932554500704
104,25.624840066735743
105,25.187275564350262
106,24.240731230435557
107,23.10956542324665
108,22.44722935847494
109,22.182470684097897
110,22.188146005866887
111,22.208139147753226
112,22.39929737791807
113,22.473241283805496
114,22.44060234663932
115,22.474256179481465
116,22.60444023145126
117,22.698208079303527
118,22.57399590913806
119,22.459244782857112
120,22.510324891678778
121,22.54805047454536
122,22.56787445809304
123,22.611800229448754
124,22.75244459588818
125,22.685584334320904
126,22.8275715713468
127,23.150745894151893
128,23.43356975521026
129,23.748654677947005
130,24.18274102704463
131,25.086249809105457
132,25.82087366653565
133,26.632030418578935
134,27.54764927337743
135,29.421345952212757
136,31.401455114765426
137,34.02026682199413
138,37.297376580360584
139,39.97545678404854
140,41.93768188432303
141,44.090265255090095
142,46.122718182711424
143,48.49482091581009
144,51.25097189955252
145,53.37164538560931
